Id,logId,date,value
122,1,2016-03-13 02:39:00,1
122,1,2016-03-13 02:40:00,1
122,1,2016-03-13 02:41:00,1
122,1,2016-03-13 02:42:00,1
122,1,2016-03-13 02:43:00,1
122,1,2016-03-13 02:44:00,1
122,1,2016-03-13 02:45:00,2
122,1,2016-03-13 02:46:00,2
122,1,2016-03-13 02:47:00,1
122,1,2016-03-13 02:48:00,1
122,1,2016-03-13 02:49:00,2
122,1,2016-03-13 02:50:00,2
122,1,2016-03-13 02:51:00,1
122,1,2016-03-13 02:52:00,1
122,1,2016-03-13 02:53:00,1
122,1,2016-03-13 02:54:00,1
122,1,2016-03-13 02:55:00,1
122,1,2016-03-13 02:56:00,1
122,1,2016-03-13 02:57:00,1
122,1,2016-03-13 02:58:00,1
122,1,2016-03-13 02:59:00,1
122,1,2016-03-13 03:00:00,1
122,1,2016-03-13 03:01:00,1
122,1,2016-03-13 03:02:00,1
122,1,2016-03-13 03:03:00,1
122,1,2016-03-13 03:04:00,1
122,1,2016-03-13 03:05:00,1
122,1,2016-03-13 03:06:00,1
122,1,2016-03-13 03:07:00,1
122,1,2016-03-13 03:08:00,1
122,1,2016-03-13 03:09:00,1
122,1,2016-03-13 03:10:00,1
122,1,2016-03-13 03:11:00,1
122,1,2016-03-13 03:12:00,1
122,1,2016-03-13 03:13:00,1
122,1,2016-03-13 03:14:00,1
122,1,2016-03-13 03:15:00,1
122,1,2016-03-13 03:16:00,1
122,1,2016-03-13 03:17:00,1
122,1,2016-03-13 03:18:00,1
122,1,2016-03-13 03:19:00,1
122,1,2016-03-13 03:20:00,1
122,1,2016-03-13 03:21:00,1
122,1,2016-03-13 03:22:00,1
122,1,2016-03-13 03:23:00,1
122,1,2016-03-13 03:24:00,1
122,1,2016-03-13 03:25:00,1
122,1,2016-03-13 03:26:00,1
122,1,2016-03-13 03:27:00,1
122,1,2016-03-13 03:28:00,1
122,1,2016-03-13 03:29:00,1
122,1,2016-03-13 03:30:00,1
122,1,2016-03-13 03:31:00,1
122,1,2016-03-13 03:32:00,1
122,1,2016-03-13 03:33:00,1
122,1,2016-03-13 03:34:00,1
122,1,2016-03-13 03:35:00,1
122,1,2016-03-13 03:36:00,1
122,1,2016-03-13 03:37:00,1
122,1,2016-03-13 03:38:00,1
122,1,2016-03-13 03:39:00,1
122,1,2016-03-13 03:40:00,1
122,1,2016-03-13 03:41:00,1
122,1,2016-03-13 03:42:00,1
122,1,2016-03-13 03:43:00,1
122,1,2016-03-13 03:44:00,1
122,1,2016-03-13 03:45:00,1
122,1,2016-03-13 03:46:00,1
122,1,2016-03-13 03:47:00,1
122,1,2016-03-13 03:48:00,1
122,1,2016-03-13 03:49:00,1
122,1,2016-03-13 03:50:00,1
122,1,2016-03-13 03:51:00,1
122,1,2016-03-13 03:52:00,1
122,1,2016-03-13 03:53:00,1
122,1,2016-03-13 03:54:00,1
122,1,2016-03-13 03:55:00,1
122,1,2016-03-13 03:56:00,1
122,1,2016-03-13 03:57:00,1
122,1,2016-03-13 03:58:00,1
122,1,2016-03-13 03:59:00,1
122,1,2016-03-13 04:00:00,1
122,1,2016-03-13 04:01:00,1
122,1,2016-03-13 04:02:00,1
122,1,2016-03-13 04:03:00,1
122,1,2016-03-13 04:04:00,1
122,1,2016-03-13 04:05:00,1
122,1,2016-03-13 04:06:00,1
